nconst,primaryName,birthYear,category,popularity,actor_image,knownForTitles,tconst_in_db
nm0000003,Brigitte Bardot,1934,actress,4.427,https://image.tmdb.org/t/p/w200//3aANe1BRfboLNAGy5zDjNbroDmk.jpg,"tt0049189,tt0057345,tt0054452,tt0056404","['tt0054452', 'tt0057345']"
nm0000004,John Belushi,1949,actor,13.811,https://image.tmdb.org/t/p/w200//sgemxJjlaULrIQArfRb92mSd3rZ.jpg,"tt0078723,tt0072562,tt0080455,tt0077975","['tt0077975', 'tt0080455']"
nm0000015,James Dean,1931,actor,8.209,https://image.tmdb.org/t/p/w200//5oaDvEoQssXlDt1KSQVl0M4rgBn.jpg,"tt0048028,tt0039123,tt0048545,tt0049261","['tt0048028', 'tt0048545', 'tt0049261']"
nm0000047,Sophia Loren,1934,actress,18.543,https://image.tmdb.org/t/p/w200//94Kglg5dsAgOKG76230FFN7m6W3.jpg,"tt0076085,tt0058335,tt0054749,tt0060121","['tt0055805', 'tt0057171']"
nm0000072,Elizabeth Taylor,1932,actress,8.223,https://image.tmdb.org/t/p/w200//yorDFUiE5VYa8xnT6cD0KsugUd3.jpg,"tt0051459,tt0053318,tt0061184,tt0056937","['tt0042451', 'tt0043924', 'tt0049261', 'tt0051459', 'tt0056937', 'tt0061184']"
nm0000076,François Truffaut,1932,actor,3.483,https://image.tmdb.org/t/p/w200//23ZfIWLdmTVVeGu6OYNGEAUEtdS.jpg,"tt0055032,tt0053198,tt0070460,tt0075860","['tt0064285', 'tt0070460', 'tt0075860']"
nm0000081,Natalie Wood,1938,actress,10.095,https://image.tmdb.org/t/p/w200//tmYB8aXfb5fe2K1wquhRLfMGViu.jpg,"tt0055471,tt0055614,tt0048545,tt0057263","['tt0045186', 'tt0048545', 'tt0055471', 'tt0056048', 'tt0057263', 'tt0059243', 'tt0061089']"
nm0000090,Armin Mueller-Stahl,1930,actor,4.692,https://image.tmdb.org/t/p/w200//yDT9hMg3osAbiWl5YZXTYG4SmGj.jpg,"tt0963178,tt0117631,tt0139809,tt0765443",['tt0100211']
nm0000093,Brad Pitt,1963,actor,32.234,https://image.tmdb.org/t/p/w200//1k9MVNS9M3Y4KejBHusNdbGJwRw.jpg,"tt0356910,tt0114746,tt2935510,tt1210166","['tt0105265', 'tt0110148', 'tt0110322', 'tt0114369', 'tt0114746', 'tt0117665', 'tt0119643', 'tt0137523']"
nm0000095,Woody Allen,1935,actor,12.207,https://image.tmdb.org/t/p/w200//wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg,"tt0118954,tt0091167,tt0079522,tt0075686","['tt0065063', 'tt0069097', 'tt0070707', 'tt0073312', 'tt0074554', 'tt0075686', 'tt0079522', 'tt0081554', 'tt0086637', 'tt0087003', 'tt0097123', 'tt0104466', 'tt0107507', 'tt0113819', 'tt0118954']"
nm0000096,Gillian Anderson,1968,actress,14.868,https://image.tmdb.org/t/p/w200//t4xY4hOg8IhyESUWzEoGmlLNZbO.jpg,"tt0442632,tt2294189,tt0455590,tt0106179",['tt0145734']
nm0000098,Jennifer Aniston,1969,actress,32.217,https://image.tmdb.org/t/p/w200//qPXG41rYdUGldZhMhuZFvmpZKRp.jpg,"tt0108778,tt1564367,tt1723121,tt3442006",['tt0151804']
nm0000099,Patricia Arquette,1968,actress,14.655,https://image.tmdb.org/t/p/w200//jeThSouMatiuRiLkjDvSBLHpmq0.jpg,"tt1065073,tt0108399,tt0145531,tt0412175","['tt0108399', 'tt0109707', 'tt0116922']"
nm0000101,Dan Aykroyd,1952,actor,19.438,https://image.tmdb.org/t/p/w200//9wfs5H22ALQCjnpA2poyVaivLMt.jpg,"tt0080455,tt0118747,tt0102558,tt0087332","['tt0080455', 'tt0086465', 'tt0087332', 'tt0097239', 'tt0105435', 'tt0119229']"
nm0000102,Kevin Bacon,1958,actor,42.89,https://image.tmdb.org/t/p/w200//rjX2Oz3tCZMfSwOoIAyEhdtXnTE.jpg,"tt0361127,tt0164052,tt0327056,tt0087277","['tt0083833', 'tt0100814', 'tt0104257', 'tt0112384', 'tt0113870', 'tt0117665']"
nm0000103,Fairuza Balk,1974,actress,16.615,https://image.tmdb.org/t/p/w200//z5KnPiNLkWxBfYu4GRy1iz37bPX.jpg,"tt0120586,tt0115963,tt0089908,tt0181875",['tt0098575']
nm0000104,Antonio Banderas,1960,actor,30.927,https://image.tmdb.org/t/p/w200//n8YlGookYzgD3cmpMP45BYRNIoh.jpg,"tt0120746,tt0285823,tt1189073,tt0120657","['tt0110148', 'tt0112851']"
nm0000106,Drew Barrymore,1975,actress,30.163,https://image.tmdb.org/t/p/w200//vCg538wASd6UlZcqD0a0KdgwMIQ.jpg,"tt0160127,tt0151738,tt0343660,tt0120631",['tt0120631']
nm0000107,Kim Basinger,1953,actress,20.735,https://image.tmdb.org/t/p/w200//6gLzz9y3v92Fs8VHtKLNdl1h20t.jpg,"tt0337921,tt0095687,tt0119488,tt0096895","['tt0087781', 'tt0096895', 'tt0119488']"
nm0000111,Matthew Broderick,1962,actor,19.866,https://image.tmdb.org/t/p/w200//2Pq8pwOX5ZFfT2p5pNLGfvUi9Pp.jpg,"tt0115798,tt0395251,tt0091042,tt0086567","['tt0086567', 'tt0091042', 'tt0096289', 'tt0097441', 'tt0126886']"
nm0000112,Pierce Brosnan,1953,actor,27.636,https://image.tmdb.org/t/p/w200//mciqKRUdKFGF8CUEMiimcA1sdDN.jpg,"tt0795421,tt0120347,tt0143145,tt0155267",['tt0107614']
nm0000113,Sandra Bullock,1964,actress,34.443,https://image.tmdb.org/t/p/w200//u2tnZ0L2dwrzFKevVANYT5Pb1nE.jpg,"tt0111257,tt1454468,tt1041829,tt0212346","['tt0108596', 'tt0111257', 'tt0117913']"
nm0000114,Steve Buscemi,1957,actor,20.985,https://image.tmdb.org/t/p/w200//lQKdHMxfYcCBOvwRKBAxPZVNtkg.jpg,"tt0162346,tt0105236,tt0116282,tt4686844","['tt0113677', 'tt0117958']"
nm0000115,Nicolas Cage,1964,actor,85.879,https://image.tmdb.org/t/p/w200//mCwOZguo1uOutwMZmrBaCfl0inq.jpg,"tt0119094,tt0435705,tt0113627,tt0117500","['tt0086969', 'tt0093565', 'tt0093822', 'tt0100935', 'tt0105226', 'tt0113627', 'tt0117500', 'tt0119094']"
nm0000117,Neve Campbell,1973,actress,20.716,https://image.tmdb.org/t/p/w200//9fDbXBbrM6L10YrzDJUJowDt8U.jpg,"tt0120082,tt0134084,tt0117571,tt0120890",['tt0117571']
nm0000120,Jim Carrey,1962,actor,17.067,https://image.tmdb.org/t/p/w200//kuSlwTPsVlBMW0cvnFmbZce6PaV.jpg,"tt0109040,tt0315327,tt0110475,tt0338013","['tt0109686', 'tt0120382', 'tt0125664']"
nm0000121,Phoebe Cates,1963,actress,19.812,https://image.tmdb.org/t/p/w200//yqMGG1krjUvj59GYKKk1SDKbVn1.jpg,"tt0083929,tt0101775,tt0086143,tt0087363",['tt0087363']
nm0000123,George Clooney,1961,actor,14.744,https://image.tmdb.org/t/p/w200//kHiVY6r1k6juXrNetAYk2jILqn9.jpg,"tt1193138,tt1124035,tt0465538,tt0433383","['tt0116367', 'tt0120188', 'tt0120780']"
nm0000125,Sean Connery,1930,actor,15.735,https://image.tmdb.org/t/p/w200//dXQj9iz41GunGRJqXvdf5ST1P1g.jpg,"tt0055928,tt0117500,tt0091605,tt0094226","['tt0058329', 'tt0073341', 'tt0091605', 'tt0094226', 'tt0097576', 'tt0099810', 'tt0117500', 'tt0145734']"
nm0000126,Kevin Costner,1955,actor,68.637,https://image.tmdb.org/t/p/w200//bykmxJHLfbFM3NT05RZXhx8YTzF.jpg,"tt0119925,tt0102798,tt0103855,tt0099348","['tt0090022', 'tt0093640', 'tt0094226', 'tt0094812', 'tt0102138', 'tt0107808', 'tt7763324']"
nm0000128,Russell Crowe,1964,actor,51.839,https://image.tmdb.org/t/p/w200//fbzD4utSGJlsV8XbYMLoMdEZ1Fc.jpg,"tt0268978,tt1707386,tt0119488,tt0172495","['tt0119488', 'tt0140352']"
nm0000129,Tom Cruise,1962,actor,29.096,https://image.tmdb.org/t/p/w200//8qBylBsQf4llkGrWR3qAsOtOU8O.jpg,"tt0325710,tt0092099,tt0116695,tt0120755","['tt0090863', 'tt0095953', 'tt0096969', 'tt0104257', 'tt0110148', 'tt0116695', 'tt0117060', 'tt0175880']"
nm0000130,Jamie Lee Curtis,1958,actress,13.024,https://image.tmdb.org/t/p/w200//9KWvPVeiLOXlOGl0XVyHZtJWQtx.jpg,"tt1502407,tt0120694,tt0111503,tt6710474","['tt0077651', 'tt0095050', 'tt0111503']"
nm0000131,John Cusack,1966,actor,24.23,https://image.tmdb.org/t/p/w200//a6Fd7fyRtyBrxIVdEcIJBYAJPG6.jpg,"tt0098258,tt0146882,tt0119229,tt0450385","['tt0088794', 'tt0090103', 'tt0095082', 'tt0098258', 'tt0109348', 'tt0119229', 'tt0120601']"
nm0000132,Claire Danes,1979,actress,15.032,https://image.tmdb.org/t/p/w200//ustSV3r790QyskweHVC2XqDWs7U.jpg,"tt0274558,tt1796960,tt0117509,tt0108872",['tt0119978']
nm0000133,Geena Davis,1956,actress,15.3,https://image.tmdb.org/t/p/w200//bx9ufx5cS7FfHDFFeT71syBh428.jpg,"tt0103074,tt0104694,tt0091064,tt0116908","['tt0094721', 'tt0103074', 'tt0104694']"
nm0000134,Robert De Niro,1943,actor,53.905,https://image.tmdb.org/t/p/w200//cT8htcckIuyI1Lqwt1CvD02ynTh.jpg,"tt0081398,tt0075314,tt0101540,tt0077416","['tt0070379', 'tt0071562', 'tt0075314', 'tt0081398', 'tt0085794', 'tt0087843', 'tt0091530', 'tt0094226', 'tt0095631', 'tt0099077', 'tt0099685', 'tt0101540', 'tt0106489', 'tt0108330', 'tt0112641', 'tt0113277', 'tt0117665', 'tt0118887', 'tt0120885', 'tt0122690']"
nm0000136,Johnny Depp,1963,actor,35.681,https://image.tmdb.org/t/p/w200//ilPBHd3r3ahlipNQtjr4E3G04jJ.jpg,"tt0383574,tt0408236,tt0325980,tt0449088","['tt0087800', 'tt0099487', 'tt0106307', 'tt0106387', 'tt0108550', 'tt0109707', 'tt0119008', 'tt0120669']"
nm0000137,Bo Derek,1956,actress,17.431,https://image.tmdb.org/t/p/w200//mmCo56529hEkYZ2KV9ilWS8HXRX.jpg,"tt0114694,tt0086987,tt0083170,tt0099656",['tt0114694']
nm0000138,Leonardo DiCaprio,1974,actor,63.934,https://image.tmdb.org/t/p/w200//wo2hJpn04vbtmh0B9utCFdsQhxM.jpg,"tt0120338,tt0993846,tt1375666,tt0407887","['tt0108330', 'tt0108550', 'tt0112461', 'tt0120338']"
nm0000139,Cameron Diaz,1972,actress,13.762,https://image.tmdb.org/t/p/w200//d4f4cQ9EiYuvNMjT1IB2h06KoRx.jpg,"tt0259711,tt0119738,tt0129387,tt0160127","['tt0120601', 'tt0129387']"
nm0000140,Michael Douglas,1944,actor,13.957,https://image.tmdb.org/t/p/w200//rNE2O4JvDfDS7yd869tNwnkgYq7.jpg,"tt0093010,tt0094291,tt0103772,tt1291580","['tt0078966', 'tt0094291', 'tt0103772', 'tt0106856', 'tt0119174']"
