tconst,primaryTitle,title_fr,decade,release_date,production_country,genres,popularity,averageRating,class_vote,numVotes,runtimeMinutes,budget,revenue,overview,poster_url,backdrop_url,genres_stripped,1950s,1960s,1970s,1980s,1990s,FR,US,high votes,low votes,medium votes,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,Film-Noir,History,Horror,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0042286,Broken Arrow,La flèche brisée,1950s,01/08/1950,US,"['Drama', 'Romance', 'Western']",15.088,7.2,high votes,9145,93,0,0,"Arizona, 1870. La Guerre fait rage entre colons et Apaches. L'ancien éclaireur Tom rencontre le chef Cochise et propose la paix. Un traité est signé. Mais ils vont être trahis..",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4UdAXRvTWIVCEvBgrOhFYQIaMLE.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/7raQ1RNaeIWfcO2bzjO7FDbTf97.jpg,"Drama,Romance,Western",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
tt0042367,Cyrano de Bergerac,Cyrano de Bergerac (1950),1950s,16/11/1950,US,"['Adventure', 'Drama', 'Romance']",4.785,7.4,high votes,4296,113,0,0,"Affublé d'un nez proéminent, Cyrano n'ose pas déclarer sa flamme à la belle Roxane qui, elle, n'a d'yeux que pour Christian... Cyrano de Bergerac est un film américain réalisé par Michael Gordon, sorti en 1950. Il s'agit de l'une des nombreuses adaptations cinématographiques de l'œuvre d'Edmond Rostand. Cyrano de Bergerac est une pièce en 5 actes écrite presque entièrement en alexandrins. Edmond Rostand la qualifie de comédie héroïque mais les analystes y reconnaissent de nombreuses influences dont la principale est le théâtre romantique ou néo-romantique. De la comédie héroïque, la pièce possède son sens de l'épique et la description d'un héros dont la vie s'organise autour de l'amour et de l'honneur. Maurice Rostand y voit une œuvre qui exalte les valeurs de l'héroïsme et qui donne à tous le « courage d'être des héros ». D'autres auteurs lui reprochent un esprit cocardier.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/l4JFOXslwb90opz8xozfIhPke8z.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sI0ISjxKLbRZwaY5mjUI8SdJeME.jpg,"Adventure,Drama,Romance",1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0042451,Father of the Bride,Le Père de la mariée,1950s,18/05/1950,US,"['Comedy', 'Drama', 'Romance']",9.109,7.1,high votes,11944,92,0,0,"Kay Banks décide tout à trac d'épouser Buckley Dunstan. Pour Stanley T. Banks, son père, modeste avocat, ce n'est pas une mince affaire car il veut être sûr que sa fille ne se trompe pas.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/cVB8Jnfch5TfWwboy3FrgCn9xTE.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6F3S8eNVnAkUsllkCPpIZGKXxIE.jpg,"Comedy,Drama,Romance",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0042619,Diary of a Country Priest,Journal d'un curé de campagne,1950s,07/02/1951,FR,['Drama'],8.025,7.8,high votes,12015,115,0,0,"À sa sortie du séminaire, un jeune prêtre intègre sa première paroisse : d'Ambricourt. Idéaliste et dévot, il se heurte très vite à l'hostilité de ses ouailles. La châtelaine notamment fait preuve d'un athéisme fanatique depuis la perte d'un de ses enfants. Elle meurt peu après avoir retrouvé la foi. Dès lors les haines se cristallisent autour du jeune curé. Accusé par le village d'être alcoolique, alors qu'il souffre sans le savoir d'un cancer à l'estomac qui l'empêche peu à peu de s'alimenter, il meurt loin du village, chez l'un de ses amis prêtre défroqué.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/tWQ0wl6aq1Fs3ZD7gbTJFoXfCmi.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/luytZGyalDVIBy2jDk51EKV45T8.jpg,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0042895,Rio Grande,Rio Grande,1950s,15/11/1950,US,"['Romance', 'Western']",8.077,7.0,high votes,16809,105,0,0,"Colonel de la cavalerie américaine, Kirby York accueille dans son régiment son propre fils, le jeune Jeff, recalé à West Point. Séparée de York depuis un épisode tragique de la Guerre de Sécession, Kathleen, la mère de Jeff, intervient auprès de son époux pour qu'il n'accepte pas le jeune homme dans sa garnison. La guerre contre les Indiens fait rage, et la mère craint pour la vie de son fils. Une terrible bataille contre les Apaches s'annonce…",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gRRtjNF4FrBqlgAQ3CPl6t0W2v5.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/34XGT3fMZYYyaRkDSIMlk2KEjno.jpg,"Romance,Western",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
tt0043303,The Red Inn,L'Auberge rouge,1950s,19/10/1951,FR,"['Comedy', 'Crime']",5.082,7.2,medium votes,1524,98,0,0,"En 1833, à l'auberge de Peyrebeille, perdue en montagne, Marie et Pierre Martin, un couple d'aubergistes, assassinent leurs clients pour les voler. Les voyageurs d'une diligence descendent à l'auberge, bientôt suivis par un moine bon vivant. Or, la femme Martin éprouve le besoin de se confesser au saint homme. À sa grande horreur, elle lui avoue la bagatelle de cent trois crimes. Le moine, lié par le secret de la confession, va cependant s'employer par tous les moyens à sauver les voyageurs...",https://image.tmdb.org/t/p/w600_and_h900_bestv2/oeQf19yeZBtBPv0qEuCz48qGABV.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/mZvsie1WdHwUImyBddZShMkwE9L.jpg,"Comedy,Crime",1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0043560,Fourteen Hours,14 heures,1950s,01/04/1951,US,"['Drama', 'Film-Noir', 'Thriller']",2.498,7.1,medium votes,2791,92,0,0,"Désespéré, un homme s'intalle sur la bordure d'un gratte-ciel et menace de se suicider. Un policier fait tout pour l'en dissuader.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/eoD9MoQjMy6cB68lnRDQnDGjiWB.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/lX0PAZCmHk6TrTwf8QaR8y1REIH.jpg,"Drama,Film-Noir,Thriller",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
tt0043686,Forbidden Games,Jeux interdits,1950s,09/05/1952,FR,"['Comedy', 'Drama', 'War']",8.607,8.0,high votes,12606,86,0,10188,"Les parents de la petite Paulette sont tués lors des bombardements de juin 1940, dans le centre de la France. La fillette de cinq ans est recueillie par les Dollé, une famille de paysans. Elle devient l'amie de leur jeune fils de onze ans, Michel. Après avoir enterré le chien de Paulette dans un vieux moulin abandonné, les deux enfants constituent peu à peu un véritable cimetière pour insectes et petits animaux. Les problèmes commencent lorsque Michel se met à voler des croix pour en orner les tombes du cimetière miniature.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/ehuwkjyFxfPQkiO2Aa1u1liIgS2.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/iNkgF4uBzcFTrY3NN6JrlCD5Ho.jpg,"Comedy,Drama,War",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
tt0043873,Has Anybody Seen My Gal,Qui donc a vu ma belle?,1950s,25/06/1952,US,['Comedy'],2.137,7.1,medium votes,1645,88,0,0,"Samuel G. Fulton avait, dans sa jeunesse, proposé le mariage à une jeune fille prénommée Millicent. Mais celle-ci avait refusé. Quarante ans plus tard, et après être devenu milliardaire, il pense à ce qu'il serait devenu si cette dernière avait accepté et décide de léguer la totalité de sa richesse à la famille de Millicent – désormais décédée – pour la remercier de son refus. Le vieil homme part pour Hilverton afin d'observer la famille...",https://image.tmdb.org/t/p/w600_and_h900_bestv2/zZFk1jwxoZ7e6o5exhFIykDWyF8.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wLbZvBiEOcDpiSmyZkKUzA2Jkd2.jpg,Comedy,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043918,The Little World of Don Camillo,Le petit monde de Don Camillo,1950s,28/03/1952,FR,['Comedy'],5.903,7.6,high votes,4633,107,0,0,"D'âpres rivalités de clocher font bouillonner le petit village italien de Brescello. Peppone, un communiste, vient de triompher aux élections municipales et son succès est dur à accepter pour Don Camillo, sympathique curé de choc, qui, dans l'ombre du presbytère, s'entretient presque amicalement avec Dieu.",https://image.tmdb.org/t/p/w600_and_h900_bestv2/x55F11gmug8fgBODKWMWzQvc9KV.jpg,https://image.tmdb.org/t/p/w600_and_h900_bestv2/p1rU5RalhYCTDpasCFTwhKp795J.jpg,Comedy,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
